type,plate_x,plate_z,player_name
S,0.35,1.76,"Verlander, Justin"
B,0.12,1.24,"Verlander, Justin"
X,0.26,2.48,"Verlander, Justin"
B,0.99,0.47,"Verlander, Justin"
X,0.59,2.0,"Verlander, Justin"
S,-0.71,2.47,"Verlander, Justin"
B,1.71,2.14,"Verlander, Justin"
B,0.19,3.58,"Verlander, Justin"
B,2.31,1.19,"Verlander, Justin"
B,2.45,0.63,"Verlander, Justin"
S,-0.35,3.45,"Verlander, Justin"
S,-0.44,2.58,"Verlander, Justin"
X,0.25,3.37,"Verlander, Justin"
S,-0.9,2.32,"Verlander, Justin"
S,-0.4,3.63,"Verlander, Justin"
X,-0.69,3.21,"Verlander, Justin"
S,-0.12,2.28,"Verlander, Justin"
B,-0.08,3.77,"Verlander, Justin"
S,0.31,1.87,"Verlander, Justin"
B,0.89,0.85,"Verlander, Justin"
X,0.46,1.48,"Verlander, Justin"
S,-0.26,3.33,"Verlander, Justin"
S,0.16,2.14,"Verlander, Justin"
X,0.49,1.97,"Verlander, Justin"
B,1.73,0.32,"Verlander, Justin"
S,-0.54,3.23,"Verlander, Justin"
S,0.1,2.84,"Verlander, Justin"
S,0.27,2.82,"Verlander, Justin"
S,0.44,2.71,"Verlander, Justin"
B,-0.39,3.91,"Verlander, Justin"
S,0.79,2.59,"Verlander, Justin"
S,-0.36,2.85,"Verlander, Justin"
S,-0.6,2.18,"Verlander, Justin"
B,-0.18,0.58,"Verlander, Justin"
X,0.59,2.67,"Verlander, Justin"
S,-0.29,3.06,"Verlander, Justin"
B,0.32,1.21,"Verlander, Justin"
S,-0.04,1.72,"Verlander, Justin"
B,0.8,1.06,"Verlander, Justin"
X,0.13,2.46,"Verlander, Justin"
B,0.58,0.72,"Verlander, Justin"
S,0.59,1.92,"Verlander, Justin"
B,1.17,0.44,"Verlander, Justin"
S,0.81,1.68,"Verlander, Justin"
B,1.33,1.81,"Verlander, Justin"
B,0.25,0.94,"Verlander, Justin"
B,1.37,0.05,"Verlander, Justin"
S,0.62,1.62,"Verlander, Justin"
S,0.26,1.87,"Verlander, Justin"
S,1.19,1.65,"Verlander, Justin"
S,0.31,3.02,"Verlander, Justin"
S,-0.29,3.08,"Verlander, Justin"
B,1.32,2.53,"Verlander, Justin"
B,0.01,4.68,"Verlander, Justin"
X,0.74,1.52,"Verlander, Justin"
B,1.42,0.29,"Verlander, Justin"
B,1.34,0.23,"Verlander, Justin"
S,0.27,2.13,"Verlander, Justin"
S,0.41,2.35,"Verlander, Justin"
S,-0.49,1.34,"Verlander, Justin"
S,-0.47,2.91,"Verlander, Justin"
B,1.19,0.89,"Verlander, Justin"
B,-0.91,3.34,"Verlander, Justin"
S,0.2,2.63,"Verlander, Justin"
X,0.62,2.21,"Verlander, Justin"
B,0.64,3.9,"Verlander, Justin"
S,-0.07,3.0,"Verlander, Justin"
S,0.27,2.21,"Verlander, Justin"
S,0.46,2.4,"Verlander, Justin"
B,0.88,2.85,"Verlander, Justin"
X,-0.79,1.79,"Verlander, Justin"
S,-0.06,3.43,"Verlander, Justin"
B,0.65,3.97,"Verlander, Justin"
S,-0.46,2.35,"Verlander, Justin"
S,-0.21,2.89,"Verlander, Justin"
S,-0.06,2.08,"Verlander, Justin"
X,-0.46,2.24,"Verlander, Justin"
S,0.17,2.57,"Verlander, Justin"
B,-1.38,2.74,"Verlander, Justin"
S,-0.11,2.74,"Verlander, Justin"
X,0.18,2.68,"Verlander, Justin"
B,0.06,1.18,"Verlander, Justin"
X,0.58,2.6,"Verlander, Justin"
B,2.04,1.14,"Verlander, Justin"
S,0.48,2.35,"Verlander, Justin"
B,1.43,2.85,"Verlander, Justin"
S,0.64,1.02,"Verlander, Justin"
B,0.44,3.73,"Verlander, Justin"
S,0.39,3.04,"Verlander, Justin"
S,0.35,3.15,"Verlander, Justin"
S,0.57,1.95,"Verlander, Justin"
S,0.42,1.32,"Verlander, Justin"
B,1.42,2.32,"Verlander, Justin"
S,0.18,3.04,"Verlander, Justin"
B,0.61,4.27,"Verlander, Justin"
S,-0.85,3.08,"Verlander, Justin"
S,0.52,2.59,"Verlander, Justin"
B,1.46,1.72,"Verlander, Justin"
S,0.05,2.02,"Verlander, Justin"
S,0.19,2.33,"Verlander, Justin"
X,0.01,1.53,"Verlander, Justin"
X,-0.12,2.94,"Verlander, Justin"
B,-0.63,3.56,"Verlander, Justin"
S,0.21,2.3,"Verlander, Justin"
B,0.02,0.16,"Verlander, Justin"
B,-0.84,3.09,"Verlander, Justin"
X,-0.15,2.87,"Verlander, Justin"
X,-0.51,2.16,"Verlander, Justin"
S,-0.58,2.48,"Verlander, Justin"
B,-0.43,1.47,"Verlander, Justin"
S,-0.03,2.97,"Verlander, Justin"
B,0.19,1.37,"Verlander, Justin"
B,-0.32,3.66,"Verlander, Justin"
B,0.78,3.64,"Verlander, Justin"
S,0.67,1.91,"Verlander, Justin"
S,-0.03,2.0,"Verlander, Justin"
S,1.84,1.32,"Verlander, Justin"
B,0.68,3.83,"Verlander, Justin"
S,-0.7,2.79,"Verlander, Justin"
S,-0.73,2.54,"Verlander, Justin"
B,0.66,1.47,"Verlander, Justin"
S,-0.35,2.27,"Verlander, Justin"
B,0.94,3.04,"Verlander, Justin"
B,-1.05,3.68,"Verlander, Justin"
S,0.28,1.71,"Verlander, Justin"
B,0.14,3.33,"Verlander, Justin"
S,-0.59,1.67,"Verlander, Justin"
B,1.89,1.1,"Verlander, Justin"
S,-0.81,2.83,"Verlander, Justin"
B,-0.99,3.55,"Verlander, Justin"
B,-1.46,2.88,"Verlander, Justin"
S,-0.42,2.05,"Verlander, Justin"
S,0.65,2.16,"Verlander, Justin"
S,1.4,0.66,"Verlander, Justin"
B,2.04,0.04,"Verlander, Justin"
S,0.48,2.54,"Verlander, Justin"
S,0.53,3.37,"Verlander, Justin"
S,-0.85,3.14,"Verlander, Justin"
S,0.72,3.43,"Verlander, Justin"
S,0.8,1.93,"Verlander, Justin"
B,0.83,1.47,"Verlander, Justin"
B,0.99,1.55,"Verlander, Justin"
S,0.14,1.8,"Verlander, Justin"
S,-0.93,2.91,"Verlander, Justin"
X,1.18,1.83,"Verlander, Justin"
B,0.98,0.53,"Verlander, Justin"
B,1.18,0.7,"Verlander, Justin"
S,0.32,3.07,"Verlander, Justin"
S,0.11,1.62,"Verlander, Justin"
X,0.3,2.24,"Verlander, Justin"
S,-0.52,2.48,"Verlander, Justin"
B,-1.14,1.93,"Verlander, Justin"
X,0.72,2.57,"Verlander, Justin"
S,1.45,1.4,"Verlander, Justin"
B,2.21,0.54,"Verlander, Justin"
S,0.22,1.56,"Verlander, Justin"
S,0.41,2.87,"Verlander, Justin"
X,-0.66,2.8,"Verlander, Justin"
S,0.21,3.17,"Verlander, Justin"
S,0.29,1.22,"Verlander, Justin"
B,1.47,1.04,"Verlander, Justin"
S,0.75,1.73,"Verlander, Justin"
S,0.24,1.92,"Verlander, Justin"
X,0.46,2.2,"Verlander, Justin"
S,-0.12,2.11,"Verlander, Justin"
B,-0.94,2.7,"Verlander, Justin"
S,-0.14,3.25,"Verlander, Justin"
S,0.07,2.43,"Verlander, Justin"
S,0.6,2.43,"Verlander, Justin"
S,0.58,2.13,"Verlander, Justin"
S,0.94,2.21,"Verlander, Justin"
S,0.58,1.65,"Verlander, Justin"
S,0.48,1.83,"Verlander, Justin"
B,1.21,3.9,"Verlander, Justin"
B,-1.29,3.41,"Verlander, Justin"
X,-0.16,2.01,"Verlander, Justin"
B,-0.1,0.64,"Verlander, Justin"
S,0.47,3.08,"Verlander, Justin"
S,-0.83,2.28,"Verlander, Justin"
S,-0.98,2.41,"Verlander, Justin"
X,0.03,2.36,"Verlander, Justin"
B,1.11,-0.1,"Verlander, Justin"
B,0.95,2.9,"Verlander, Justin"
S,1.23,1.64,"Verlander, Justin"
B,0.86,1.64,"Verlander, Justin"
S,0.41,3.09,"Verlander, Justin"
S,-0.52,2.95,"Verlander, Justin"
B,-1.57,1.87,"Verlander, Justin"
S,-0.66,1.7,"Verlander, Justin"
S,0.39,1.44,"Verlander, Justin"
B,-1.39,2.28,"Verlander, Justin"
X,-0.32,1.75,"Verlander, Justin"
B,0.95,1.72,"Verlander, Justin"
S,-0.63,1.66,"Verlander, Justin"
X,-0.19,3.13,"Verlander, Justin"
B,-1.16,1.25,"Verlander, Justin"
S,-0.56,2.5,"Verlander, Justin"
S,-0.29,3.19,"Verlander, Justin"
B,1.09,1.57,"Verlander, Justin"
S,0.98,2.2,"Verlander, Justin"
S,0.65,3.2,"Verlander, Justin"
B,2.42,1.56,"Verlander, Justin"
S,1.04,1.93,"Verlander, Justin"
B,1.73,3.21,"Verlander, Justin"
B,1.8,2.08,"Verlander, Justin"
S,0.75,2.12,"Verlander, Justin"
S,0.12,3.52,"Verlander, Justin"
S,-0.44,1.45,"Verlander, Justin"
B,-1.72,2.73,"Verlander, Justin"
B,-1.28,2.35,"Verlander, Justin"
S,-0.17,1.98,"Verlander, Justin"
X,-0.55,2.21,"Verlander, Justin"
S,0.77,3.2,"Verlander, Justin"
S,-0.62,3.91,"Verlander, Justin"
S,-0.14,3.59,"Verlander, Justin"
S,-0.09,2.13,"Verlander, Justin"
X,0.6,2.51,"Verlander, Justin"
B,1.07,1.12,"Verlander, Justin"
S,1.1,1.06,"Verlander, Justin"
B,0.29,0.99,"Verlander, Justin"
B,0.5,1.27,"Verlander, Justin"
S,-0.09,2.29,"Verlander, Justin"
S,1.92,1.52,"Verlander, Justin"
S,0.38,2.82,"Verlander, Justin"
B,-1.49,1.1,"Verlander, Justin"
S,0.4,3.25,"Verlander, Justin"
B,0.12,1.98,"Verlander, Justin"
B,-1.72,3.81,"Verlander, Justin"
B,1.29,2.97,"Verlander, Justin"
S,0.54,2.58,"Verlander, Justin"
B,0.87,3.99,"Verlander, Justin"
S,-0.06,2.6,"Verlander, Justin"
S,0.24,3.71,"Verlander, Justin"
B,-0.27,1.37,"Verlander, Justin"
S,0.84,3.5,"Verlander, Justin"
S,-0.89,1.15,"Verlander, Justin"
S,0.64,3.04,"Verlander, Justin"
S,-0.48,3.91,"Verlander, Justin"
S,0.51,1.33,"Verlander, Justin"
S,0.49,2.43,"Verlander, Justin"
X,0.52,1.91,"Verlander, Justin"
S,-0.2,2.17,"Verlander, Justin"
B,-1.08,1.68,"Verlander, Justin"
S,0.28,1.46,"Verlander, Justin"
B,0.76,1.99,"Verlander, Justin"
S,0.43,2.6,"Verlander, Justin"
X,1.11,2.32,"Verlander, Justin"
S,0.61,2.89,"Verlander, Justin"
X,0.84,2.44,"Verlander, Justin"
S,-0.92,2.62,"Verlander, Justin"
X,1.36,7.54,"Verlander, Justin"
S,0.03,1.71,"Verlander, Justin"
S,0.7,2.23,"Verlander, Justin"
B,1.56,1.34,"Verlander, Justin"
X,0.15,2.45,"Verlander, Justin"
S,0.66,2.53,"Verlander, Justin"
B,-1.3,1.93,"Verlander, Justin"
S,-1.24,1.65,"Verlander, Justin"
B,1.71,2.4,"Verlander, Justin"
S,0.03,2.47,"Verlander, Justin"
S,0.2,1.67,"Verlander, Justin"
B,2.02,0.49,"Verlander, Justin"
S,0.64,2.38,"Verlander, Justin"
B,1.27,2.83,"Verlander, Justin"
B,0.72,1.37,"Verlander, Justin"
X,0.2,2.29,"Verlander, Justin"
B,0.25,1.37,"Verlander, Justin"
S,0.54,3.09,"Verlander, Justin"
B,1.53,1.25,"Verlander, Justin"
B,1.43,2.5,"Verlander, Justin"
S,0.97,0.94,"Verlander, Justin"
S,0.98,2.09,"Verlander, Justin"
S,0.48,2.89,"Verlander, Justin"
S,-0.24,3.9,"Verlander, Justin"
B,0.41,4.11,"Verlander, Justin"
B,1.68,1.62,"Verlander, Justin"
S,0.07,2.57,"Verlander, Justin"
X,0.91,2.98,"Verlander, Justin"
B,1.37,2.05,"Verlander, Justin"
S,-0.12,2.14,"Verlander, Justin"
B,-0.62,0.7,"Verlander, Justin"
S,0.85,1.12,"Verlander, Justin"
S,0.36,1.96,"Verlander, Justin"
S,0.12,2.92,"Verlander, Justin"
S,0.46,3.15,"Verlander, Justin"
B,-1.5,2.44,"Verlander, Justin"
S,-0.19,2.66,"Verlander, Justin"
S,0.36,2.13,"Verlander, Justin"
B,-0.26,1.49,"Verlander, Justin"
S,-1.11,2.83,"Verlander, Justin"
X,0.08,2.74,"Verlander, Justin"
B,-1.24,3.18,"Verlander, Justin"
X,-0.17,2.64,"Verlander, Justin"
B,-1.38,3.17,"Verlander, Justin"
S,-0.72,2.7,"Verlander, Justin"
S,-0.08,2.39,"Verlander, Justin"
X,0.79,2.13,"Verlander, Justin"
B,1.51,2.24,"Verlander, Justin"
B,2.08,1.97,"Verlander, Justin"
X,0.77,2.75,"Verlander, Justin"
B,1.69,1.22,"Verlander, Justin"
S,0.55,3.17,"Verlander, Justin"
S,0.57,3.25,"Verlander, Justin"
B,0.67,3.92,"Verlander, Justin"
X,1.25,2.55,"Verlander, Justin"
B,1.29,1.59,"Verlander, Justin"
B,1.55,0.37,"Verlander, Justin"
B,1.37,-0.12,"Verlander, Justin"
S,0.52,2.85,"Verlander, Justin"
X,-0.24,2.49,"Verlander, Justin"
S,-0.53,1.29,"Verlander, Justin"
B,2.2,0.62,"Verlander, Justin"
S,0.23,1.94,"Verlander, Justin"
B,1.04,1.91,"Verlander, Justin"
S,-0.09,3.17,"Verlander, Justin"
S,0.4,2.35,"Verlander, Justin"
B,1.21,2.1,"Verlander, Justin"
X,0.62,2.18,"Verlander, Justin"
S,-0.09,2.89,"Verlander, Justin"
X,-0.38,2.57,"Verlander, Justin"
X,0.26,2.97,"Verlander, Justin"
S,-0.69,3.15,"Verlander, Justin"
S,-0.17,2.24,"Verlander, Justin"
S,0.26,1.27,"Verlander, Justin"
S,-0.09,2.19,"Verlander, Justin"
X,-0.57,3.45,"Verlander, Justin"
B,-1.32,2.36,"Verlander, Justin"
B,-2.27,4.09,"Verlander, Justin"
X,-0.1,2.52,"Verlander, Justin"
S,0.15,3.11,"Verlander, Justin"
B,-1.29,3.36,"Verlander, Justin"
S,-0.44,2.14,"Verlander, Justin"
S,0.9,1.82,"Verlander, Justin"
B,1.62,1.18,"Verlander, Justin"
S,0.62,1.98,"Verlander, Justin"
S,0.24,2.38,"Verlander, Justin"
S,-0.02,2.73,"Verlander, Justin"
B,0.54,1.46,"Verlander, Justin"
S,0.22,3.11,"Verlander, Justin"
S,0.49,2.15,"Verlander, Justin"
S,-0.91,2.59,"Verlander, Justin"
S,0.32,2.05,"Verlander, Justin"
S,0.56,1.53,"Verlander, Justin"
S,-0.34,2.46,"Verlander, Justin"
S,-0.87,1.82,"Verlander, Justin"
X,-0.75,2.3,"Verlander, Justin"
B,0.02,1.47,"Verlander, Justin"
S,-0.19,3.48,"Verlander, Justin"
S,-0.16,2.72,"Verlander, Justin"
B,0.99,2.42,"Verlander, Justin"
B,0.24,0.82,"Verlander, Justin"
S,0.03,2.21,"Verlander, Justin"
X,0.01,2.9,"Verlander, Justin"
S,-0.66,1.91,"Verlander, Justin"
B,1.12,1.05,"Verlander, Justin"
S,1.09,2.23,"Verlander, Justin"
B,1.37,1.27,"Verlander, Justin"
S,-0.8,2.84,"Verlander, Justin"
S,0.49,2.39,"Verlander, Justin"
B,0.9,1.3,"Verlander, Justin"
X,0.84,2.13,"Verlander, Justin"
S,1.38,1.92,"Verlander, Justin"
X,-0.14,2.94,"Verlander, Justin"
S,-0.35,2.02,"Verlander, Justin"
X,-0.59,2.16,"Verlander, Justin"
S,-0.13,1.43,"Verlander, Justin"
B,-1.11,1.92,"Verlander, Justin"
B,-1.7,3.19,"Verlander, Justin"
X,1.35,1.73,"Verlander, Justin"
S,-0.42,1.46,"Verlander, Justin"
B,-1.48,2.36,"Verlander, Justin"
S,0.74,1.55,"Verlander, Justin"
X,-0.75,3.1,"Verlander, Justin"
S,-0.54,2.5,"Verlander, Justin"
B,0.4,1.36,"Verlander, Justin"
S,0.84,3.22,"Verlander, Justin"
B,0.14,3.9,"Verlander, Justin"
S,-0.97,3.95,"Verlander, Justin"
B,1.24,2.95,"Verlander, Justin"
S,-0.75,3.82,"Verlander, Justin"
X,0.1,2.73,"Verlander, Justin"
S,-0.3,1.66,"Verlander, Justin"
B,-1.36,2.82,"Verlander, Justin"
S,-0.32,3.53,"Verlander, Justin"
B,1.84,1.05,"Verlander, Justin"
S,-0.25,1.96,"Verlander, Justin"
S,0.18,1.79,"Verlander, Justin"
X,0.33,2.57,"Verlander, Justin"
B,1.15,1.52,"Verlander, Justin"
S,0.21,2.41,"Verlander, Justin"
S,-0.76,1.78,"Verlander, Justin"
X,0.19,1.95,"Verlander, Justin"
S,0.63,2.83,"Verlander, Justin"
S,0.72,2.66,"Verlander, Justin"
B,1.53,0.56,"Verlander, Justin"
S,1.08,0.52,"Verlander, Justin"
S,1.46,1.59,"Verlander, Justin"
S,0.11,1.35,"Verlander, Justin"
S,0.39,3.07,"Verlander, Justin"
S,-0.01,2.75,"Verlander, Justin"
S,0.01,3.33,"Verlander, Justin"
S,-0.07,1.94,"Verlander, Justin"
B,1.45,1.21,"Verlander, Justin"
B,-1.17,2.29,"Verlander, Justin"
S,1.19,2.54,"Verlander, Justin"
S,0.65,2.2,"Verlander, Justin"
B,1.55,-0.39,"Verlander, Justin"
S,-0.57,2.66,"Verlander, Justin"
S,-0.49,3.08,"Verlander, Justin"
B,1.07,2.23,"Verlander, Justin"
S,-0.33,2.42,"Verlander, Justin"
B,-1.95,2.09,"Verlander, Justin"
B,-0.9,2.59,"Verlander, Justin"
X,0.13,1.76,"Verlander, Justin"
B,0.77,0.95,"Verlander, Justin"
S,0.48,2.66,"Verlander, Justin"
S,0.79,3.1,"Verlander, Justin"
S,0.18,2.97,"Verlander, Justin"
X,0.48,2.08,"Verlander, Justin"
X,-0.69,1.92,"Verlander, Justin"
S,0.03,3.86,"Verlander, Justin"
X,0.27,2.82,"Verlander, Justin"
B,0.52,1.63,"Verlander, Justin"
S,0.25,2.59,"Verlander, Justin"
S,1.12,1.13,"Verlander, Justin"
S,0.43,2.62,"Verlander, Justin"
S,0.12,3.66,"Verlander, Justin"
S,-0.37,3.33,"Verlander, Justin"
B,0.22,0.81,"Verlander, Justin"
X,0.17,2.53,"Verlander, Justin"
B,1.21,1.87,"Verlander, Justin"
S,0.78,0.91,"Verlander, Justin"
S,0.48,2.58,"Verlander, Justin"
B,-0.01,4.04,"Verlander, Justin"
S,0.45,1.9,"Verlander, Justin"
B,1.53,2.21,"Verlander, Justin"
B,-1.18,3.73,"Verlander, Justin"
X,-0.09,2.52,"Verlander, Justin"
B,1.25,3.61,"Verlander, Justin"
S,1.41,1.87,"Verlander, Justin"
S,1.62,1.36,"Verlander, Justin"
S,0.29,3.37,"Verlander, Justin"
X,0.82,2.46,"Verlander, Justin"
S,0.84,2.85,"Verlander, Justin"
B,2.04,1.98,"Verlander, Justin"
S,0.34,2.92,"Verlander, Justin"
S,-0.04,3.59,"Verlander, Justin"
S,0.22,3.37,"Verlander, Justin"
S,1.03,1.82,"Verlander, Justin"
B,-0.41,4.48,"Verlander, Justin"
S,0.42,2.19,"Verlander, Justin"
B,-0.76,4.51,"Verlander, Justin"
S,1.43,2.11,"Verlander, Justin"
S,-0.64,3.3,"Verlander, Justin"
S,-0.51,3.23,"Verlander, Justin"
S,1.79,1.96,"Verlander, Justin"
B,1.57,2.54,"Verlander, Justin"
S,0.37,2.12,"Verlander, Justin"
S,0.22,2.22,"Verlander, Justin"
S,0.54,2.72,"Verlander, Justin"
B,-1.01,1.88,"Verlander, Justin"
S,0.58,3.08,"Verlander, Justin"
S,0.27,3.15,"Verlander, Justin"
B,1.07,2.68,"Verlander, Justin"
S,-0.09,2.91,"Verlander, Justin"
S,-0.41,2.65,"Verlander, Justin"
B,0.48,1.27,"Verlander, Justin"
B,-1.18,4.16,"Verlander, Justin"
B,1.12,1.58,"Verlander, Justin"
B,0.1,1.7,"Verlander, Justin"
X,-0.22,2.17,"Verlander, Justin"
S,0.63,2.27,"Verlander, Justin"
B,-0.5,4.7,"Verlander, Justin"
X,1.0,3.08,"Verlander, Justin"
S,-1.22,3.31,"Verlander, Justin"
S,-0.69,2.79,"Verlander, Justin"
S,-0.59,3.3,"Verlander, Justin"
B,1.07,3.62,"Verlander, Justin"
B,-1.11,2.9,"Verlander, Justin"
B,-0.37,1.74,"Verlander, Justin"
S,1.07,2.75,"Verlander, Justin"
B,0.86,3.46,"Verlander, Justin"
S,0.39,2.51,"Verlander, Justin"
S,0.54,1.44,"Verlander, Justin"
B,1.31,1.87,"Verlander, Justin"
X,1.09,2.45,"Verlander, Justin"
S,-0.27,3.54,"Verlander, Justin"
S,0.22,2.84,"Verlander, Justin"
S,0.62,3.29,"Verlander, Justin"
B,0.41,3.62,"Verlander, Justin"
B,0.17,4.03,"Verlander, Justin"
X,0.76,1.98,"Verlander, Justin"
S,0.3,2.51,"Verlander, Justin"
B,1.29,2.17,"Verlander, Justin"
B,1.78,1.9,"Verlander, Justin"
S,0.44,2.33,"Verlander, Justin"
B,1.41,3.1,"Verlander, Justin"
S,0.36,3.32,"Verlander, Justin"
X,-0.28,1.79,"Verlander, Justin"
S,0.91,3.24,"Verlander, Justin"
S,0.25,3.2,"Verlander, Justin"
S,-0.31,3.26,"Verlander, Justin"
X,0.92,3.09,"Verlander, Justin"
S,0.04,2.75,"Verlander, Justin"
S,0.51,2.61,"Verlander, Justin"
S,0.56,3.03,"Verlander, Justin"
B,-1.37,3.08,"Verlander, Justin"
B,1.18,3.04,"Verlander, Justin"
S,0.83,2.52,"Verlander, Justin"
S,1.44,0.89,"Verlander, Justin"
S,0.63,3.31,"Verlander, Justin"
S,0.12,2.65,"Verlander, Justin"
B,-1.26,2.29,"Verlander, Justin"
B,1.46,2.26,"Verlander, Justin"
S,1.09,2.12,"Verlander, Justin"
X,-0.12,3.79,"Verlander, Justin"
S,0.11,2.41,"Verlander, Justin"
X,1.41,2.48,"Verlander, Justin"
S,0.71,2.2,"Verlander, Justin"
S,-0.05,2.67,"Verlander, Justin"
B,0.94,2.06,"Verlander, Justin"
X,-0.45,2.5,"Verlander, Justin"
S,1.26,1.26,"Verlander, Justin"
X,0.61,2.6,"Verlander, Justin"
B,-0.27,4.05,"Verlander, Justin"
S,-0.15,1.8,"Verlander, Justin"
B,1.08,1.79,"Verlander, Justin"
S,0.21,3.6,"Verlander, Justin"
B,0.14,4.63,"Verlander, Justin"
S,0.55,3.32,"Verlander, Justin"
B,-0.68,4.24,"Verlander, Justin"
S,0.35,2.86,"Verlander, Justin"
S,1.5,2.67,"Verlander, Justin"
S,0.53,3.05,"Verlander, Justin"
B,1.03,2.72,"Verlander, Justin"
S,0.62,2.86,"Verlander, Justin"
X,0.03,2.57,"Verlander, Justin"
S,-0.41,2.98,"Verlander, Justin"
S,-0.18,3.49,"Verlander, Justin"
B,-1.87,4.86,"Verlander, Justin"
S,0.11,1.83,"Verlander, Justin"
B,1.34,2.44,"Verlander, Justin"
B,-1.02,1.71,"Verlander, Justin"
X,0.71,2.15,"Verlander, Justin"
X,-0.23,2.08,"Verlander, Justin"
